종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio
CSA 코스믹,60.0,32.0,26.0,6.0,12.0,16.0,8.0
EMW,17.647058823529413,8.823529411764707,23.52941176470588,27.941176470588236,17.647058823529413,13.23529411764706,8.823529411764707
KCW,5.714285714285714,20.0,2.857142857142857,0.0,31.428571428571427,22.857142857142858,22.857142857142858
KD,0.0,60.0,40.0,0.0,0.0,0.0,0.0
SK컴즈,25.102880658436217,46.913580246913575,7.4074074074074066,9.465020576131687,5.761316872427984,21.39917695473251,9.053497942386832
SSCP,30.49645390070922,12.056737588652481,9.219858156028367,4.25531914893617,21.27659574468085,6.382978723404255,46.808510638297875
UCI,100.0,100.0,0.0,0.0,0.0,0.0,0.0
경남제약,46.900269541778975,1.8867924528301887,3.7735849056603774,39.62264150943396,25.87601078167116,26.68463611859838,2.15633423180593
국순당,35.714285714285715,11.03896103896104,14.285714285714285,13.636363636363635,27.27272727272727,16.883116883116884,16.883116883116884
금강제강,34.48275862068966,0.0,5.747126436781609,0.0,0.0,26.436781609195403,67.81609195402298
기륭이앤이,26.08695652173913,17.391304347826086,4.3478260869565215,21.73913043478261,8.695652173913043,8.695652173913043,39.130434782608695
나노스,0.0,26.865671641791046,32.83582089552239,40.298507462686565,0.0,0.0,0.0
나노트로닉스,10.344827586206897,13.793103448275861,9.195402298850574,20.689655172413794,3.4482758620689653,40.229885057471265,12.643678160919542
내츄럴엔도텍,42.10526315789473,14.736842105263156,15.789473684210526,7.368421052631578,7.368421052631578,38.94736842105263,15.789473684210526
네오퍼플,14.17910447761194,12.686567164179104,25.37313432835821,8.208955223880597,20.149253731343283,0.7462686567164178,32.83582089552239
넥스지,6.0,7.000000000000001,21.5,23.0,26.0,8.5,14.000000000000002
넥스트바이오홀딩스,11.940298507462686,31.343283582089555,14.925373134328357,19.402985074626866,11.940298507462686,13.432835820895523,8.955223880597014
넷게임즈,20.0,90.0,10.0,0.0,0.0,0.0,0.0
녹원씨엔아이,12.871287128712872,4.9504950495049505,5.9405940594059405,14.85148514851485,17.82178217821782,37.62376237623762,18.81188118811881
대성엘텍,38.095238095238095,38.095238095238095,4.761904761904762,0.0,0.0,23.809523809523807,33.33333333333333
데코앤이,8.695652173913043,3.260869565217391,28.26086956521739,1.0869565217391304,13.586956521739129,30.978260869565215,22.82608695652174
동신건설,10.526315789473683,10.526315789473683,21.052631578947366,5.263157894736842,0.0,5.263157894736842,57.89473684210527
동양시멘트,0.0,100.0,0.0,0.0,0.0,0.0,0.0
두올산업,1.1764705882352942,38.82352941176471,48.23529411764706,12.941176470588237,0.0,0.0,0.0
디아이디,14.925373134328357,22.388059701492537,11.194029850746269,0.0,19.402985074626866,26.119402985074625,20.8955223880597
디에스,22.105263157894736,20.0,25.263157894736842,1.0526315789473684,0.0,17.894736842105264,35.78947368421053
디에스케이,0.9803921568627451,32.35294117647059,7.8431372549019605,20.588235294117645,18.627450980392158,0.9803921568627451,19.607843137254903
디엠씨,1.0,19.0,9.0,24.0,21.0,17.0,10.0
디오스텍,5.555555555555555,33.33333333333333,27.77777777777778,38.88888888888889,0.0,0.0,0.0
디웍스글로벌,12.903225806451612,18.548387096774192,16.129032258064516,3.225806451612903,7.258064516129033,54.83870967741935,0.0
디젠스,6.349206349206349,12.698412698412698,19.047619047619047,19.047619047619047,19.047619047619047,22.22222222222222,7.936507936507936
디지탈옵틱,19.148936170212767,6.382978723404255,17.02127659574468,10.638297872340425,10.638297872340425,2.127659574468085,53.191489361702125
디지텍시스템,19.19191919191919,7.07070707070707,17.17171717171717,0.0,36.36363636363637,24.242424242424242,15.151515151515152
디테크놀로지,30.357142857142854,44.642857142857146,1.7857142857142856,37.5,0.0,1.7857142857142856,14.285714285714285
라이트론,12.23021582733813,3.597122302158273,11.510791366906476,2.158273381294964,12.949640287769784,34.53237410071942,35.25179856115108
레드로버,27.77777777777778,5.555555555555555,2.7777777777777777,1.3888888888888888,20.833333333333336,23.61111111111111,45.83333333333333
레이젠,2.083333333333333,12.5,16.666666666666664,35.41666666666667,0.0,0.0,35.41666666666667
룩손에너지,17.97752808988764,16.853932584269664,15.730337078651685,12.359550561797752,16.853932584269664,10.112359550561797,28.08988764044944
르네코,15.517241379310345,0.0,62.06896551724138,10.344827586206897,1.7241379310344827,0.0,25.862068965517242
리켐,4.444444444444445,57.77777777777777,1.1111111111111112,0.0,0.0,22.22222222222222,18.88888888888889
마이스코,28.125,0.0,16.40625,8.59375,16.40625,42.96875,15.625
마제스타,17.5,17.5,21.25,25.0,17.5,15.0,3.75
매직마이크로,6.25,18.75,29.166666666666668,10.416666666666668,25.0,6.25,10.416666666666668
매커스,0.0,0.0,0.0,0.0,25.0,0.0,75.0
메디앙스,1.8181818181818181,3.6363636363636362,1.8181818181818181,1.8181818181818181,18.181818181818183,54.54545454545454,20.0
모린스,30.303030303030305,15.151515151515152,0.0,3.0303030303030303,0.0,0.0,81.81818181818183
미스터피자,20.0,32.5,67.5,0.0,0.0,0.0,0.0
바른손,19.230769230769234,57.692307692307686,42.30769230769231,0.0,0.0,0.0,0.0
바른손이앤에이,9.649122807017543,33.33333333333333,30.701754385964914,10.526315789473683,15.789473684210526,9.649122807017543,0.0
바른전자,7.462686567164178,13.432835820895523,46.26865671641791,8.955223880597014,31.343283582089555,0.0,0.0
바이오빌,10.982658959537572,7.514450867052023,2.8901734104046244,36.41618497109826,20.23121387283237,12.138728323699421,20.809248554913296
블러썸엠앤씨,0.0,3.8461538461538463,48.07692307692308,44.230769230769226,3.8461538461538463,0.0,0.0
비츠로시스,26.41509433962264,6.289308176100629,4.40251572327044,36.477987421383645,27.044025157232703,18.238993710691823,7.547169811320755
삼우이엠씨,12.380952380952381,15.238095238095239,11.428571428571429,10.476190476190476,4.761904761904762,20.952380952380953,37.142857142857146
샘코,0.0,52.63157894736842,36.84210526315789,10.526315789473683,0.0,0.0,0.0
선데이토즈,15.0,0.0,5.0,22.5,25.0,47.5,0.0
성융광전투자,18.0327868852459,3.278688524590164,26.229508196721312,8.19672131147541,9.836065573770492,0.0,52.459016393442624
세동,11.76470588235294,21.568627450980394,17.647058823529413,29.411764705882355,7.8431372549019605,17.647058823529413,5.88235294117647
세븐스타웍스,13.580246913580247,18.51851851851852,8.641975308641975,17.28395061728395,17.28395061728395,13.580246913580247,24.691358024691358
세원물산,14.705882352941178,17.647058823529413,0.0,0.0,5.88235294117647,17.647058823529413,58.82352941176471
세진전자,9.090909090909092,9.090909090909092,9.090909090909092,4.545454545454546,0.0,0.0,77.27272727272727
셀루메드,28.169014084507044,5.633802816901409,16.901408450704224,16.901408450704224,1.4084507042253522,29.577464788732392,29.577464788732392
셀바스AI,19.047619047619047,14.285714285714285,20.238095238095237,13.095238095238097,9.523809523809524,9.523809523809524,33.33333333333333
셀바스헬스케어,48.484848484848484,3.0303030303030303,37.878787878787875,7.575757575757576,3.0303030303030303,10.606060606060606,37.878787878787875
소리바다,6.25,6.25,62.5,0.0,6.25,25.0,0.0
솔고바이오,15.384615384615385,12.82051282051282,28.205128205128204,0.0,10.256410256410255,41.02564102564102,7.6923076923076925
솔트웍스,28.40909090909091,22.727272727272727,17.045454545454543,14.772727272727273,2.272727272727273,18.181818181818183,25.0
슈펙스비앤피,0.0,18.6046511627907,69.76744186046511,11.627906976744185,0.0,0.0,0.0
스카이문스테크놀로지,10.526315789473683,5.263157894736842,5.263157894736842,52.63157894736842,15.789473684210526,5.263157894736842,15.789473684210526
스킨앤스킨,1.9607843137254901,5.88235294117647,15.686274509803921,21.568627450980394,33.33333333333333,19.607843137254903,3.9215686274509802
스타모빌리티,11.904761904761903,19.047619047619047,23.809523809523807,26.190476190476193,30.952380952380953,0.0,0.0
스템싸이언스,28.235294117647058,21.176470588235293,16.470588235294116,32.94117647058823,14.117647058823529,0.0,15.294117647058824
스틸플라워,0.0,81.25,18.75,0.0,0.0,0.0,0.0
