총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,(주)앤디포스,2018. 11,2점,"""서울 사무소 건물 좋고 사람들도 좋지만 임원이 안좋음. 그리고 여자라면 승진의 기회는 거의 없음.""",중소기업 중에서는 하는 일에 비해 돈은 많이 줌. 그리고 복지도 좀 좋은 편임. 칼퇴근이 가능하고 일이 쉽고 할 일 없을 때는 조용히 쉴 수 있다는 게 큰 장점임.,월말 연말 보고거 많음. 여자는 거의 승진을 못함. 서울 사무소는 임원진이 다 모여있어서 눈치도 많이 봐야하고 일단 굽히고 들어가야함. 그리고 출근이 8시부터 퇴근이 6시라 일하는 시간이 좀 김. 신입 교육 체계가 별로임.,여자들도 임원 되게해주세요. 그리고 근무시간도 좀 줄여주세요.
2.4,(주)앤디포스,2018. 10,2점,"""아이템 자체는 전망이 좋으나 구성원이 전체적으로 덜 성숙했음""","복지비 있음, 하지만 눈치 봐야함. 근무 환경은 좋은 편임. 칼퇴가능. 회식 거의 없음","연차 눈치 봐야함, 구성원들이 숨막히게함(이게 거의 100%), 사람 문제는 답도 없음.","자를 사람 분명히 경영자 눈에도 잘라야 하는 사람 딱 보일 것이지만, 회사를 벌어먹여 살리는 사람이라 못자르는 것이 보임,,, 하지만 그럴수록 회사는 소생할 방법이 없다는 것을,,, 현명한 CEO라면 알 것이라 생각함."
2.4,(주)앤디포스,2018. 10,3점,"""작년 올해 퇴사율의 정점을 찍었습니다.
급여는 다른직장보다 많이주지만 체계가 안잡혀있는것같습니다.""",기업의 장점은 급여가 높다는것이며 신입들에게는 다양한 경험을 배울수있어 좋을것같습니다. 그리고 선택적복리후생비의 복지만 잘되어있습니다. 그리고 퇴근이 빠릅니다. 야근거의없어요.,연차를 마음대로 못씁니다. 엄청눈치보면서 써야됩니다. 그리고 양적성장은 했지만 질적으로는 도태되는것같습니다.,"경영진들 입맛에 맞게 체계가 잡혀있기때문에 변화를 싫어하는것같습니다.
그치만 변화가있어야 회사가 성장할수 있을것같아요.
직원을 소모품으로 생각하지않으셨으면 좋겠습니다."
2.4,(주)앤디포스,2018. 10,2점,"""오합지졸..체계가 없다는..무조건 바빠서라는 말로 끝..
모른다는 것ㅔ 부끄러움 없음.""","그나마 인간미가 있고, 존중도 있다.
최대한 개인적인 업무볼 수 있도록 년차 사용 가능.
한때 상여금도 많이 받았슴.","어디든 비슷하겠지만 도와주면 내 일이 되어버림.
담당자의 사명감이 부족함.
독불장군임. 불량에 대한 정확한 원인 판단 안됨.
계속 같은 불량발생에도 대응안됨
배부른 고양이처럼 자기 자리만 지킴.
앞으로 나아가려고 하지 않음.
시대에 대한 파악을 하지 않음.","어찔할 바를 모를때는 도움을 청하세요..
회사가 키진 만큼 체계도 만들세요..
중간 관리자에 대한 이해도를 가지세요.."
2.4,(주)앤디포스,2018. 10,3점,"""현재는 매출에 비하여 어렵지만 전망있는 회사로 보이고 성장가능성이 충분하다""","업무간,사람간의 소통이잘되고 편안한 분위기에서 일을 할수있는 장점을 가지고있다.",한 걸음 더 나아갈 기회가 없다. 이대로 가다가는 제자리걸음을 반복할 것 같다.,"직원들을 먼저 생각해주는 사람,회사가 되고, 현재 회사의 분위기 또한 먼저 파악했으면 좋겠다."
2.4,(주)앤디포스,2018. 08,3점,"""아이템은 좋으나 관리체계가 없는 듯, 확장과 성장에 주력했으면 이제는 좀 관리해가면서 다음 성장을 준비해야 할듯""","아이템이 좋은 것이 장점, 깔금한 사옥이 있어 좋음, 주차가능, 지하철역에서 버스 1정거장,","수직 구조 및 8시출근6시퇴근에 부서장 이 늦게 퇴근하는 분위기, 이른 출근 늦은퇴근이 단점","체계적인 관리시스템 도입 및 ERP도입 필요, 부서별 인원충원이 많이 필요하지만, 팀장이 변해야지 팀원이 바뀐다고 바뀌지는 않음"
2.4,(주)앤디포스,2018. 06,1점,"""돈은 많이 주긴 하나 그마저도 계속 줌. 기숙사 식사는 무료""",중소기업대비 연봉은 높은편. 보너스도 있으나 점점 줄어듬. 반복적인 보고서로 인해 엑셀 control+c 능력 향상. 잦은 회식으로 인해 주량 향상. 잦은 갈굼으로 인한 멘탈 강화 탁월,상장이후 주식 및 매출 급락. 시골에 위치하고 있어 봄 수박밭 거름냄새로 인해 출퇴근 시 고향의 냄새를 느낄수 있음. 화학물질을 위생비닐장갑 한장만 끼고 만지며 환기 시설이 잘 되어있지 않아 호흡기로 직접적으로 들어와 2세 걱정이 됨.,경쟁사 대비 제품 품질이 뛰어나지 않으나 이를 인정하지 않고 똥고집만 부리는 회사에는 미래가 없다! 지금이라도 상황 파악 잘하고 미래 먹거리 개발 잘 하길...
2.4,(주)앤디포스,2018. 05,2점,"""체계가 전혀 잡혀있지 않아서 엉망인 회사""","연봉은 다른 곳에 비해 높음
연령대가 20~30대가 대부분 젊은 사람들이 많음","회식이 엄청 잦음
부서 직원이 자주 바뀜
1년 못넘기고 퇴사하는 사람들이 대부분
주위에 아무 것도 없고 대중교통이 발달되어 있지 않음",지금이라도 체계를 갖추고 직원들을 잘 이끌어줬으면
2.4,(주)앤디포스,2018. 04,1점,"""끈임 없이 올라오는 채용 공고. 자기 자리 지키기 급급한 능력 없는 고인물들. 떠나는 신입들.""","1. 빠른 출근 시간을 통해 직원들이 상쾌한 아침 공기를 느낄 수 있도록 도와준다 (아침 7시 30분에는 자리에 앉아 있어야 된다)

2. 직원들이 혹시 시간이 모자라서 퇴근 시간 전에 일을 끝내지 못할까봐, 근무 시간을 강제로 1시간 연장해준다. (친절히 1시간 추가 근무 동의서를 프린트해서 서명을 받는다)","1. 사람이 끊임 없이 바뀐다. 새로 뽑아 놓은 신입들은
회사의 실체를 파악하고 다 도망나간다.

2. 남아 있는 고인물들은 자기 자리 지키기에 급급하다.

3. 회사의 주 매출 제품이 너무나도 부실하다. 품질은 답이 없고 개발은 더 답이 없다.

4. 경쟁사 제품에 완전 밀린 상황이라 미래가 너무 어둡다.(현재 회사 상황은 회사 주가 참조)",회사를 믿고 다니는 직원들을 생각하세요. 본인들 이익만 생각하지 말고 진정 회사를 위한 경영을 해주세여.
2.4,(주)앤디포스,2018. 03,1점,"""이상을 찾아가는 회사!!! 이상을 꿈꾸다 이상한 회사가 된 이상한 나라의 이세상 회사가 아닌 회사""","1. 능력을 어떻게 검증하는지 모르겠으나 얻어걸리면 대우를 잘해줌
2. 왕까진 아니고 바지(?)에게 잘보여 간신이되면 정승까지 초고속 승진가능
3. 밥공짜, 지금도 나오는지는 모르나 간식 제공, 기숙사 무료지원.","1. 제대로 능력이 있는지 알수없는 검증 안된 윗선
2. 그런 상사에게 어이없이 일배운 중간
3. 이런사람들에게 일을 배울 신입
4. 어디서 굴러들어 온지 모르는 경력
5. 끝나가는 사업아이템
6. 미래가 안보이는 개발
7. 근본없는 제품 품질
8. 두서없는 인원 배치
9. 끝을 모르는 회식
10. 끝을 알것같은 협업체계
11. ???? 주식 종목토론 방문 참고
12. 쓸데없는 보고 채널, 1도 필요없는 각종 일지(?)
13. 자기 혼자 잘난분들
14· 목소리크면 데이터, 근거, 체계 무시",물 들어온다고 노 저으셨을텐데...계신곳이 잠수함이네요????
2.4,(주)앤디포스,2018. 03,1점,"""현 상황도 암울하지만 미래는 더욱 암울한 기업. 입사가 정말 급한 분들이 아니면 추천하지 않습니다.""","1. 조식, 중식, 석식 무료 제공

2. 기숙사 무료 제공

3. 제조업 치고는 쾌적한 근무 환경","1. 위에 적힌 장점을 제외하고는 모두 단점

2. 신입 또는 사원급만 채용. 뭐가 무서워서 경력직을 채용 못할까요?

3. 입사 절대 추천하지 않습니다. 퇴사율이 괜히 높은 것이 아닙니다. 동료가 퇴사하면 남아 있는 직원들이 부러워하는 분위기입니다.

4. 회사 주가가 현재 및 미래의 앤디포스 상황을 대변하고 있음",앞으로도 적극적인 신입 채용을 통하여 청년 실업 해소를 위하여 더욱 더 노력해주세요!
2.4,(주)앤디포스,2016. 11,2점,"""부서에 따라 다르지만 시골에서 발전과 수당없이 시키는 일만 하고 싶은 사람에게 추천""","삼시세끼에 간식까지 제공 기숙사무료제공
분기별로 성과금 나옴","윗물이 맑아야 아랫물도 맑겠지요 무능력한 상사와 책임회피가 난무하는곳 효율성없고 반복적인 업무.
수당은 아예 없는데 야근특근 몹시많음
시골에 위치해 회사와 기숙사를 제외하면 아무것도.
여가생활없이 돈만 벌고싶다면 추천 ^^","중간관리자를 채용하길
야근및특근을 시키려면 수당을 줘야할듯
보상도없이 충성만 바라는건 뭐죠?"
2.4,(주)앤디포스,2016. 09,1점,"""절대 성장 할 수 없는 회사 구조. 체계가 하나도 없음""",기숙사 식대 무료제공. 간식 지급. 남녀차별이 존재하지 않음,주위에 카페조차 없음. 야근 특근수당 없는데 야근 주말 출근 매우 많음,체계적 구조가 필요함. 야근 특근 수당 지급 매우 필요함
