총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,(주)나래나노텍,2018. 03,2점,"""반도체 코터.오븐장비 제작 업체로 오랜 역사와 설계 능력이 있는 업체다. 장비업제로써 기술력을 가지고 있어 지속발전가능하나
점점 경쟁업체와의 기술력이 줄어든다""","중소기업으로는 괜찮은 연봉. 복지가 있으며 사내 환경이 깨끗하다.
아울러 소소한 이벤트가있다","신.구 인원의 조합이 맞지않다
그리하여 현재까지도 입사와 퇴사가 많다
또한 사내문화가 타사대비 적응하기 어려워 경력자의 이직은
고려해봐야한다.",기업의 오너가 변화를 원하고 있지만 아직 모든 인원이 받아들이기 어려운듯 함 . 보다 좋은 기업으로 발전하기 위해선 변화에 동참하시길 바랍니다
2.4,(주)나래나노텍,2018. 03,1점,"""장비 제작에 대하여 많은 부분을 빠르게배울수는 있다
또한 지속적 발전 가능할것으로 판단한다""","다양한 복지와 좋은 환경에서 근무할수 있다.
또한 능력만 있다면 그 능력을 빠르게 펼칠수 있다","겉으로는 변화와 혁신을 말하지만. 속으론 정치 싸움과
'나 아니면 되지' 하는 직원들에 생각으로 발전을 못하고 있다
또한 개혁을 위해서 다방면에서 유능한 인재를 영입하는데
유능한 인재가 적응하기는 너무 어려운 기업문화가 존재함","정말로 개혁을 통해서 회사를 변화하고자 한다면 능력있는
인재를 영입하는것도 중요하고. 기존 인원들도 관리 바라며.
건물 환경. 복지보다는 인적자원이 가장중요하다는 생각을
인지하였으면 합니다"
2.4,(주)나래나노텍,2018. 03,1점,"""군대와 비슷한 곳입니다 나이 먹은 대머리들이 많음 연봉 동결도 많음
라인타야함""","기숙사 제공 되는 것이 장점입니다 나머지는 딱히 없구요

아파트 기숙사가 제공 될 겁니다","군대와 비슷함 일이 빡셈 야근 주말 야근 풀입니다

장가 못가는 사람들이 많아여",기업문화를 바꾸시길 바랍니다 평등한 조건이 없음
2.4,(주)나래나노텍,2018. 02,1점,"""말이필요없음 역대급으로 힘듬 그냥힘듬 몸도힘들고 마음도힘듬""",분기마다 자기개발비 지원말고는딱히없음 고객사에게 욕을많이먹어서 장수할수가있음^^,자기생활이아예없음 야근밥먹듯이함 쓸데없는야근도 강요 현장 셋업시 역대급으로힘듬 고객사 현장에서 조립다함 고객불만이 하늘을찌름 욕이란욕은 다먹어서 장수할것같음,사람이왜나가는지생각좀하셧으면좋겠음 쓸데없는야근은안했으면............
2.4,(주)나래나노텍,2018. 02,4점,"""초년생한테는 좋은듯하나 다른회사 다니다가 오면 못버틸만함""","생일에 상품권 나옴, 헬스장 있음, 축구장 있음
자기개발비 지원","일을 안알려주고 막무가내로 시킴
그래놓고 못하면 화내기","업무를 빨리 끝내고 퇴근을 정시에 했으면 좋겠다
야근이나 주말근무가 너무 많음"
2.4,(주)나래나노텍,2018. 01,3점,"""자신이 자기고있는 경험을 충분히 실무에 적용할수 있는 장점이 있다""","자기계발비 1분기에 15만원씩 사용 가능하며,기숙사 1인 1실","야근수당이 없으며,평균 퇴근시간 21시 이며 거의 7일중 5일 야근",임직원들의 개인 사생활을 조금이라도 존중해 주셨으면 합니다.
2.4,(주)나래나노텍,2017. 10,1점,"""일본식 딱딱한 기업문화, 경찰 음주단속 등 사회 물의 일으키면 회사로 연락. 감봉3개월.""","복리후생에 노력하려는 회사, 신식 건물로 업무환경이 깨끗함. 양질의 구내식당. 축구장 있음. 직원들도 골프를 권장하기 때문에, 컨트리클럽 프로필 사진올린 회사 직원들 많이 볼 수 있음.",가족기업으로 곳곳에 친인척이 포진하였으므로 발없는 말이 천리갈 수 있음. 낮말은 새가 듣고 밤말은 쥐가 듣는다는 자세로 철저히 말조심 해야함. 철저한 성과급제로 직원간에도 서로 경쟁하고 견제관계. 연말 인사고과에 따라 퇴직자 우수수. 아침 체조 후 상사의 질책은 군대때의 구보후 얼차려 못지않은 스트레스.,복리와 인사고과에 대한 부서간 차별 개선이 필요하고. 친인척에 대한 관리를 철저히 해야.
2.4,(주)나래나노텍,2017. 09,3점,"""군대 문화, 강제 축구, 수당 없음, 야근 및 주말출근 필수, 프로젝트 량에 비해 기술을 가진 전문 담당자 부족함, 일이 마무리 안되었는데 다른 곳으로 이동 지시, 자기 개발이 될 수 없음""","1. 회사 전반적으로 새건물, 깨끗함
2. 밥이 맛있음
3. 헬스장 및 간이 골프 시설 나쁘지 않음
4. Owner 마인드는 괜찮음/인센티브 준다고 했으나 아직 줄지는 모름","1. 야근, 주말 출근 당연시함
2. 너무 잦은 셋업, 사이트 이동으로 자기개발 불가
3. 일을 하는 사람만 함(신입이 배울 기회가 없음)
4. 왜 어린 애들이 나가는지 경영진이 이해하고 있지 못함
5. 너무 외진곳에 있어, 아무것도 할게 없음
6. 능력이나 인원도 안되면서 일을 너무 많이 받음","1. 직원들 수당은 좀 챙겨주면 좋겠음
2. 주말엔 인간답게 가정생활도 좀 하고 편히 쉬는 분위기가 되었으면 좋겠음
3. 축구 말고 부서별로 좀 단합되고 친해질 수 있는 자리 만들어야 함
4. 신입이 와서 맨날 기안만 하다가 집에 가는 현 실정을 좀 알았으면 좋겠음
5. 그래도 Owner가 오신 후, 많이 달라진 듯 하나 속속들이 모르니 답답함"
2.4,(주)나래나노텍,2017. 09,2점,"""대한민국의 포괄연봉제를 제대로 악용.
회사는 들어갈때는 자랑스럽다.... 다만......""","1인 1실 기숙사.
사내식당.
회사건물이 화려.
팀장급들은 월차사용에 상당이 자유롭게 사용하게해주는분위기.","지금까지 추락새 지금 소폭상승세이지만.
1. 프로그램으로 관리하는 근무시간 기록은 야근 9시넘으면 초과근무로 채크되야하지만 아에 기록조차 불가능하게 만들어짐. 일이 엄청바쁘면서 9시이후로는 자원봉사인샘.
월 몇시간이상 초과근무시 초과수당이라고 '계약서상'으로만 존제할뿐 평일야근을 몇시까지하던 9까지만 일한것.

2. 구시대적 마인드를 가진 기업.
군대가아니지만 군대라고 생각하고 움직이는 직원들.
물론 대표가 바뀌고 어떻게 될지는모르나 마인드는 언제나 야근은 당연한고거고 주말 출근도 당연하지않은가 이런 생각이다.

3. 다들 주말 수당이라고 적었는대.
휴일 '교통' 비지원이지 수당이아니다. 그냥 딱 고정된 금액을준다.
실질적으로 몇시간을일하전 고정수당

4. 개인시간이 어디있나 기숙사에 핼스시설이나 수요일 축구를하는사람들이있으나 그건 일부부서이야기 대부분 부서는 그냥 저녁식사후 다시 자리로 돌아가일하나. 일하고 기숙사가면 눈감고뜨면 아침이며 주말역시 개인시간을 가진다는 개념이라고 조금 힘들다.","계약서상 적혀있는 초과근무수당은 지켜줘야된다생각된다.
신입들보면 이해못할정도로 만이들어왔다 반정도는 나가는대 이유를물어보면 대부분 너무 야근이 힘들다고들한다.
물론 익숙해지면 괜찮지만 야근을 줄이거나 야근이없는날이 있어야하지않을까한다."
2.4,(주)나래나노텍,2017. 08,3점,"""화려한 겉모습에 비해 내실이 약한 기업""","자기개발 비용 지원
파주인근 거주자들은 출장갈필요가 거의 없음(본사거의안감)","복잡한 문서작성체계, 다소 경직된 분위기, 오래일한사람들 대우를 잘안해주는것같음(많이들 떠나감), 너무 바빠서 신입들을 케어해줄 사람이 없음","문서작성방법에 대한 자세한 메뉴얼을 게시해주시면 좋겠습니다. (몇몇은 있지만, 없는것도 많음)
오래일하고싶은 회사로 만들어주세요"
