회사명,시간,기간,기간 후
에이코넬,2019-03-19,2018-09-20,2019-02-19
커머스마이너,2019-03-20,2018-09-21,2019-02-20
이에스브이,2019-03-20,2018-09-21,2019-02-20
경남제약헬스케어,2019-03-20,2018-09-21,2019-02-20
디엑스앤브이엑스,2019-03-20,2018-09-21,2019-02-20
엠지메드,2019-03-20,2018-09-21,2019-02-20
캔서롭,2019-03-20,2018-09-21,2019-02-20
에이트원,2019-03-21,2018-09-22,2019-02-21
솔트웍스,2019-03-21,2018-09-22,2019-02-21
넥슨게임즈,2019-08-16,2019-02-17,2019-07-16
넷게임즈,2019-08-16,2019-02-17,2019-07-16
세토피아,2019-08-29,2019-03-02,2019-07-29
닉스테크,2019-08-29,2019-03-02,2019-07-29
바이오닉스진,2019-08-29,2019-03-02,2019-07-29
한류에이아이센터,2019-08-29,2019-03-02,2019-07-29
마이더스AI,2019-08-29,2019-03-02,2019-07-29
BNGT,2020-01-15,2019-07-19,2019-12-15
지아이블루,2020-01-15,2019-07-19,2019-12-15
엠젠플러스,2020-01-15,2019-07-19,2019-12-15
이엠네트웍스,2020-03-18,2019-09-20,2020-02-18
네패스신소재,2020-03-18,2019-09-20,2020-02-18
에스모머티리얼즈,2020-03-18,2019-09-20,2020-02-18
위메이드맥스,2020-03-19,2019-09-21,2020-02-19
조이맥스,2020-03-19,2019-09-21,2020-02-19
지더블유바이텍,2020-03-19,2019-09-21,2020-02-19
영인프런티어,2020-03-19,2019-09-21,2020-02-19
에이프런티어,2020-03-19,2019-09-21,2020-02-19
어스앤에어로스페이스,2020-03-20,2019-09-22,2020-02-20
샘코,2020-03-20,2019-09-22,2020-02-20
이큐셀,2020-03-20,2019-09-22,2020-02-20
에스엔텍,2020-03-20,2019-09-22,2020-02-20
에스엔텍비엠,2020-03-20,2019-09-22,2020-02-20
참존글로벌,2020-03-20,2019-09-22,2020-02-20
세호로보트,2020-03-20,2019-09-22,2020-02-20
인터불스,2020-03-20,2019-09-22,2020-02-20
스타모빌리티,2020-03-20,2019-09-22,2020-02-20
강원에너지,2020-04-03,2019-10-06,2020-03-03
웰크론강원,2020-04-03,2019-10-06,2020-03-03
휴엠앤씨,2020-07-09,2020-01-11,2020-06-09
에스엔피,2020-07-09,2020-01-11,2020-06-09
블러썸엠앤씨,2020-07-09,2020-01-11,2020-06-09
휴온스블러썸,2020-07-09,2020-01-11,2020-06-09
디아크,2020-08-14,2020-02-16,2020-07-14
두올산업,2020-08-14,2020-02-16,2020-07-14
온코퀘스트파마슈티컬,2020-08-14,2020-02-16,2020-07-14
파나케이아,2020-08-14,2020-02-16,2020-07-14
이큐스앤자루,2020-08-14,2020-02-16,2020-07-14
크레아플래닛,2020-08-14,2020-02-16,2020-07-14
슈펙스비앤피,2020-08-14,2020-02-16,2020-07-14
한창바이오텍,2020-08-14,2020-02-16,2020-07-14
큐브앤컴퍼니,2020-08-14,2020-02-16,2020-07-14
한주케미칼앤홀딩스,2020-08-14,2020-02-16,2020-07-14
코아시아옵틱스,2020-08-31,2020-03-04,2020-07-31
텔루스,2020-08-31,2020-03-04,2020-07-31
디오스텍,2020-08-31,2020-03-04,2020-07-31
에이팸,2020-09-21,2020-03-25,2020-08-21
넥센테크,2020-09-21,2020-03-25,2020-08-21
에스모,2020-09-21,2020-03-25,2020-08-21
