회사명,시간,기간,기간 후
차바이오텍,2018-03-22,2017-09-22,2018-02-22
트레이스,2018-03-22,2017-09-22,2018-02-22
에프티이앤이,2018-03-22,2017-09-22,2018-02-22
지나인제약,2018-03-22,2017-09-22,2018-02-22
블루베리 NFT,2018-03-22,2017-09-22,2018-02-22
행남사,2018-03-22,2017-09-22,2018-02-22
디에스케이,2018-03-28,2017-09-28,2018-02-28
모다,2018-04-02,2017-10-02,2018-03-02
에이루트,2018-04-02,2017-10-02,2018-03-02
레이젠,2018-04-09,2017-10-09,2018-03-09
UCI,2018-05-10,2017-11-10,2018-04-10
상상인인더스트리,2018-06-19,2017-12-19,2018-05-19
신텍,2018-06-26,2017-12-26,2018-05-26
디젠스,2018-08-14,2018-02-14,2018-07-14
피앤텔,2018-08-14,2018-02-14,2018-07-14
데코앤이,2018-08-14,2018-02-14,2018-07-14
화진,2018-09-27,2018-03-27,2018-08-27
썬텍,2018-10-08,2018-04-08,2018-09-08
케스피온,2018-10-16,2018-04-16,2018-09-16
이엠앤아이,2018-10-24,2018-04-24,2018-09-24
이엠앤아이,2018-11-02,2018-05-02,2018-10-02
EV수성,2018-11-07,2018-05-07,2018-10-07
이엠앤아이,2018-11-22,2018-05-22,2018-10-22
에이치디,2019-01-08,2018-07-08,2018-12-08
바른전자,2019-01-28,2018-07-28,2018-12-28
하이소닉,2019-01-28,2018-07-28,2018-12-28
바이오빌,2019-02-15,2018-08-15,2019-01-15
이엠앤아이,2019-02-20,2018-08-20,2019-01-20
노블엠앤비,2019-03-06,2018-09-06,2019-02-06
크로바하이텍,2019-03-15,2018-09-15,2019-02-15
케어젠,2019-03-18,2018-09-18,2019-02-18
유아이디,2019-03-18,2018-09-18,2019-02-18
라이트론,2019-03-18,2018-09-18,2019-02-18
스카이문스테크놀로지,2019-03-18,2018-09-18,2019-02-18
국순당,2019-03-19,2018-09-19,2019-02-19
럭슬,2019-03-19,2018-09-19,2019-02-19
알톤스포츠,2019-03-19,2018-09-19,2019-02-19
솔고바이오,2019-03-19,2018-09-19,2019-02-19
협진,2019-03-20,2018-09-20,2019-02-20
티에스넥스젠,2019-03-21,2018-09-21,2019-02-21
아이엠텍,2019-03-21,2018-09-21,2019-02-21
영신금속,2019-03-21,2018-09-21,2019-02-21
코다코,2019-03-21,2018-09-21,2019-02-21
파인넥스,2019-03-27,2018-09-27,2019-02-27
이엘케이,2019-03-27,2018-09-27,2019-02-27
코렌텍,2019-03-28,2018-09-28,2019-02-28
CSA 코스믹,2019-03-28,2018-09-28,2019-02-28
경남제약,2019-03-28,2018-09-28,2019-02-28
에스에프씨,2019-03-29,2018-09-29,2019-02-28
WI,2019-04-09,2018-10-09,2019-03-09
엘앤케이바이오,2019-04-11,2018-10-11,2019-03-11
비츠로시스,2019-04-12,2018-10-12,2019-03-12
인트로메딕,2019-06-25,2018-12-25,2019-05-25
코오롱티슈진,2019-07-05,2019-01-05,2019-06-05
셀바스헬스케어,2019-08-14,2019-02-14,2019-07-14
세원물산,2019-08-14,2019-02-14,2019-07-14
디에스티,2019-08-14,2019-02-14,2019-07-14
에이아이비트,2019-08-14,2019-02-14,2019-07-14
중앙디앤엠,2019-08-14,2019-02-14,2019-07-14
코오롱생명과학,2019-08-14,2019-02-14,2019-07-14
녹원씨엔아이,2019-09-10,2019-03-10,2019-08-10
리드,2019-12-13,2019-06-13,2019-11-13
셀루메드,2019-12-26,2019-06-26,2019-11-26
코썬바이오,2020-02-12,2019-08-12,2020-01-12
한프,2020-02-24,2019-08-24,2020-01-24
픽셀플러스,2020-03-13,2019-09-13,2020-02-13
파나진,2020-03-18,2019-09-18,2020-02-18
에스앤더블류,2020-03-18,2019-09-18,2020-02-18
이엠네트웍스,2020-03-18,2019-09-18,2020-02-18
메디앙스,2020-03-19,2019-09-19,2020-02-19
크루셜텍,2020-03-20,2019-09-20,2020-02-20
참존글로벌,2020-03-20,2019-09-20,2020-02-20
이큐셀,2020-03-20,2019-09-20,2020-02-20
어스앤에어로스페이스,2020-03-20,2019-09-20,2020-02-20
엔시트론,2020-03-23,2019-09-23,2020-02-23
에이치엔티,2020-03-23,2019-09-23,2020-02-23
아리온,2020-03-26,2019-09-26,2020-02-26
제낙스,2020-03-27,2019-09-27,2020-02-27
디에스티,2020-03-27,2019-09-27,2020-02-27
에스엘바이오닉스,2020-03-27,2019-09-27,2020-02-27
코센,2020-03-30,2019-09-30,2020-02-29
에스디시스템,2020-04-02,2019-10-02,2020-03-02
현진소재,2020-04-02,2019-10-02,2020-03-02
강원에너지,2020-04-03,2019-10-03,2020-03-03
라이트론,2020-04-13,2019-10-13,2020-03-13
화신테크,2020-04-29,2019-10-29,2020-03-29
한프,2020-05-12,2019-11-12,2020-04-12
협진,2020-06-19,2019-12-19,2020-05-19
휴엠앤씨,2020-07-09,2020-01-09,2020-06-09
일야,2020-07-31,2020-01-31,2020-06-30
파나케이아,2020-08-14,2020-02-14,2020-07-14
UCI,2020-08-14,2020-02-14,2020-07-14
블루베리 NFT,2020-08-14,2020-02-14,2020-07-14
디아크,2020-08-14,2020-02-14,2020-07-14
코스온,2020-08-14,2020-02-14,2020-07-14
스킨앤스킨,2020-08-14,2020-02-14,2020-07-14
코아시아옵틱스,2020-08-31,2020-02-29,2020-07-31
세동,2020-09-14,2020-03-14,2020-08-14
에이팸,2020-09-21,2020-03-21,2020-08-21
매직마이크로,2020-09-25,2020-03-25,2020-08-25
성융광전투자,2012-04-30,2011-10-30,2012-03-30
해피드림,2012-06-20,2011-12-20,2012-05-20
에듀언스,2012-08-14,2012-02-14,2012-07-14
와이오엠,2012-09-20,2012-03-20,2012-08-20
휴먼텍코리아,2012-12-14,2012-06-14,2012-11-14
트라이써클,2012-12-27,2012-06-27,2012-11-27
유에이블,2013-03-08,2012-09-08,2013-02-08
위너지스,2013-03-21,2012-09-21,2013-02-21
자유투어,2013-03-21,2012-09-21,2013-02-21
쌍용건설,2013-03-21,2012-09-21,2013-02-21
상지카일룸,2013-03-21,2012-09-21,2013-02-21
네오퍼플,2013-03-21,2012-09-21,2013-02-21
룩손에너지,2013-03-25,2012-09-25,2013-02-25
유비벨록스,2013-04-01,2012-10-01,2013-03-01
위메이드플레이,2013-05-03,2012-11-03,2013-04-03
글로본,2013-06-20,2012-12-20,2013-05-20
알서포트,2013-06-27,2012-12-27,2013-05-27
예당,2013-07-26,2013-01-26,2013-06-26
한국테크놀로지,2013-08-09,2013-02-09,2013-07-09
이매진아시아,2013-11-07,2013-05-07,2013-10-07
테라리소스,2013-12-20,2013-06-20,2013-11-20
터보테크,2014-03-20,2013-09-20,2014-02-20
골드앤에스,2014-03-20,2013-09-20,2014-02-20
자연과환경,2014-03-21,2013-09-21,2014-02-21
플레이위드,2014-03-21,2013-09-21,2014-02-21
서울리거,2014-03-24,2013-09-24,2014-02-24
애머릿지,2014-04-22,2013-10-22,2014-03-22
승화프리텍,2014-08-07,2014-02-07,2014-07-07
태창파로스,2014-08-26,2014-02-26,2014-07-26
제이웨이,2014-08-29,2014-02-28,2014-07-29
울트라건설,2014-10-07,2014-04-07,2014-09-07
휴먼엔,2015-01-07,2014-07-07,2014-12-07
네오리진,2015-03-05,2014-09-05,2015-02-05
바른손이앤에이,2015-03-16,2014-09-16,2015-02-16
미래SCI,2015-03-20,2014-09-20,2015-02-20
에스제이케이,2015-03-23,2014-09-23,2015-02-23
대한그린파워,2015-03-31,2014-09-30,2015-02-28
신라섬유,2015-04-15,2014-10-15,2015-03-15
바른손,2015-06-19,2014-12-19,2015-05-19
THE E&M,2015-08-31,2015-02-28,2015-07-31
동신건설,2015-12-31,2015-06-30,2015-11-30
SK컴즈,2016-03-10,2015-09-10,2016-02-10
피에이치씨,2016-03-14,2015-09-14,2016-02-14
제넨바이오,2016-03-21,2015-09-21,2016-02-21
