총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.9,(주)네이처셀,2019. 04,2점,"""창업자가 모든 것을 컨트롤하고 조율하는 회사. 사공이 많아 배가 산으로 가기 때문에 의사결정이 늦음.""","부서마다 다르지만 일이 수월함. 연차 쓸 때 눈치 보이지 않음.(다만 과장급 이상은 제외)
공공의 적이 존재하기 때문에 직원들끼리 서로 챙겨주며 사이가 좋음","사공이 많아 배가 산으로 가고 의사결정이 늦음. 차라리 대표 1명이서 결정을 했으면 좋겠으나, 주변인들의 이야기가 너무 많아 실무자들은 우왕좌왕함.
매출을 위해 회사 제품을 구매할 것을 강요함. 월급을 다시 회사에 환원하는 느낌","오너는 전문 경영인을 고용하여 경영에는 손을 떼고 연구만 하셨으면 좋겠음.
부서장들에게 전결을 할 수 있도록 하여 업무가 효율적으로 이루어 질 수 있게 도와주셨으면 좋겠음."
1.9,(주)네이처셀,2019. 01,2점,"""사람은 좋지만 복지는 없다.
모든 업무를 알아서 해야한다.""","연차사용이 자유로우며 직원간의 사이가 좋다.
그냥저냥 칼퇴하며 다닐만하다.
다 퇴사해서 진급은 빨리 시켜준다.
대충 학교 실험실 느낌이다.","출근시간 30분 일찍 나와야 한다.
급여가 짜다. 그나마 있던 보너스 사라졌다.
모든 업무는 각자 알아서 찾아보고 배워야한다.
품질관리부서 힘이 약해서 모든 일 짬맞는다.
품질관리업무하는 실무자가 사원만 있고 주임급부터
다 줄퇴사해서 어떻게 굴러갈지 의문이 든다.
전부 억지로 다니는 느낌","회사를 키우려는 대표님의 뜻는 알겠는데
직원을 잘 키우고 남아있는 직원에게 감사한 마음을
가지시길 바랍니다."
1.9,(주)네이처셀,2018. 07,1점,"""전망이 좋은 회사이나 발전가능성이 낮아보임. 체계가 잡혀있지 않거 경영진의 기분대로 움직이는 회사로 느껴졌음.""",정말 가족 같은 분위기임. 시간 활용을 잘 할 수 있는 회사이다. 회사 분위기가 편안하고 사람들이 대부분 친절함.,"경영진의 뜻대로 움직이는 회사. 기반이 잡혀있지않음,야근이 많음. 경영진이 회장에 지인 혹은 대학 후배들이 많음.",직원에 말을 귀기우려 주세요. 휴가를 가게 해주세요. 직원 복지에 조금만 투자해주세요.
1.9,(주)네이처셀,2018. 07,1점,"""직원분들은 다 좋으시고 연봉도 중소기업치고 적은 편이 아니라고 생각한다.""",근무하시는 직원분들이 정말 좋으시고 부서내 분위기도 좋은 편이다.,조금 제약이 있는 편이고 기타 행사가 많고 출근시간이 이른편이다,좋은 회사로 잘 운영하시면 좋을 것같다.
1.9,(주)네이처셀,2018. 05,2점,"""10명 중 1명은 근속함. 코드 잘 맞으면 버틸 수 있음""",세우는 전략이 심플함. 그리고 꾸준히 추진함. 될 때까지,작전 변경이 거의 없음. 다양한 사고가 반영이 안될 수 있음.,정신승리말고.. 진짜 승리할 수 있기를 바람. 왜 10명 중 9명이 그만두는지 고민해봐야함.
1.9,(주)네이처셀,2018. 04,3점,"""줄기세포 사업으로 나아갈 방향이 확실한 회사. 근무하기 괜찮음""",줄기세포와 다른 분야도 병행해 일 배우기에는 괜찮을듯 교통편리,타기업보다 변화에 느린 것이 단점이다. 타 일반회사와 비슷하다,홍보나 프로모션에 소극적인 것이 단점 이것만 개선된다면 괜찮을 듯 하다
1.9,(주)네이처셀,2018. 04,1점,"""독재자가 다스리는 학교같은느낌 기업의느낌이 전혀없고 모든 대표의말로 움직임""",저녁식대주는거말곤 없음 30자쓸말도 없음 진짜로.....,야근비안줌 법정시간보다일찍출근 일은많이줘서 야근많이함 회사오너가 회사직원을 하나도 생각안함 사람귀한줄 모름 복지전혀없음 지원해주는것도없으면서 매번 아끼려고만함 휴가도 마음대로 못쓰고 핸드폰을 걷음,오너가 경영일선에서 물러나고 전문경영인을 내세워서 경영해야함 아마 점점 더 많은사람들이 못버티고 퇴사할듯
1.9,(주)네이처셀,2018. 03,1점,"""줄기세포 사업으로 몸집을 키우려고 노력중인 회사.(네이처셀, 알바이오, 바이오스타그룹 등 순환출자 경영중)""","1. 점심식대 지원(약60%)
2. 근무환경이 쾌적한 편
3. 지하철역에서 도보 10분안에 위치","1. 업무시간 휴대폰 압수. (예전 데이터 유출로 인하여 실행. 개인사생활 통제)
- 업무시간애 개인 사정으로 폰 사용 못함. 태블릿등 다른 전자기기 사용 못함
2. 근로기준법 출퇴근 9~6시이나 실제로는 8시까지이고 더 빨리나오라 함 (7시 30분)
3. 과장급 이상은 야근수당 및 주말특근 수당 없음.
-연봉중 제수당이라하여 9시이전과 6시이후 금액이 포함되어 있음
4. 헤드헌터에게 연락을 받을 경우, 60%만 믿으면됨 복지부터 많은 부분 거짓사항이 많음
5. 매주 1회 아침 기독교 예배를 드림(물론 더 일찍나와야함)
6. 첫 출근시 개인pc없음. 일정기간(1주~한달) 업무 안 줌. 그후 일을 줌. 분위기 파악하라고 함(이때 나갈 사람은 다 나가고 남은 사람한테 업무를 줌)","개인의 사생활을 존중해주셨으면, 예전 데이터유출을 이유로 삼고 있지만 다른방법도 많으니 모색해주셨으면 좋겠습니다. 그렇게 안해도 대부분의 직원들 일 잘 합니다."
1.9,(주)네이처셀,2018. 01,1점,"""가족기업, 교회처럼 예배가있다, 떡,음료를주면서 출근시간전에 오라고함.""",칼퇴불가. 회식없음. 성장하는 기업이라 본인이 열심히 한다면 회사에서 자리잡기쉬움,"칼퇴불가,가족기업, 체계없음, 대표의..ㅎㅎㅎ
꼰머들이많아서 초년생이 적응하기 어려움","직원들의 복지에힘좀쓰셨으면..
예수님노래부를 시간에 직원들존중이나좀해줬으면"
1.9,(주)네이처셀,2017. 08,1점,"""업무 떠넘김 책임전가가 비일비재한 회사입니다.""",부서별로 뭉쳐서 일을하기 때문에 임원분들이 자기부서는 잘챙긴다.,"사람이 그만두면 사유를 찾거나 분석해서 고쳐야 하는데 그렇지않습니다.
그만둔 사람의 업무를 인원충원 없이 일하고있던 다른 직원이 맡습니다.
토요일에도 격주로 나와서 근무해야합니다.
근무시간 중 핸드폰을 걷습니다.
회사메신져가 없는데도 카톡이나 다른메신져를 못설치하게 합니다.
회사제품 강매가 있습니다.
종교(기독교)강요있습니다.
매주 1회 아침조회(8시시작)가 있습니다.
본인업무 외 잡무(특히 행사준비)를 많이 합니다.
보너스가 극히드뭅니다. 추석, 설날에 회사제품줍니다.",직원들의 불만 및 퇴사사유를 직원들의 인성 책임으로 돌리지 말았으면 합니다.
