총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,디에스케이(주),2021. 02,3점,"""개발자와 설계와 영업 제조간 업무교류가 잘 안되고 완력다툼이 있음""",디스플레이 대기업 국내외 일차벤더로 수주와 수금이 비교적 안정적임,연공서열의식이 강하고 각부서간 교류부족으로 업무 책임감이 다소 떨어짐,신규사업 추진 투자와 다양한 고객군 개발을 위해 적극 발로 뛰었음 좋겠음
2.4,디에스케이(주),2021. 01,5점,"""부담없이 다닐수 있는 회사
돈은 적당히 주는 회ㅅ사""","같이 근무하는 사람들이 좋다.
편하게 다닐수 있다.
출장이 많아 돈이 꾀된다","출장이 너무 많다.
부서간 협업이 안된다.
야근이 많아 개인시간이 없다","개인시간이 필요합니다.
가용인원이 적습니다."
2.4,디에스케이(주),2021. 01,1점,"""경영기획실의 절대 권력, 그에 항상 끌려다니는 직원...""","가성비 좋은 사람이 많음, 사람들이 좋아 다니는 case가 많음","포괄연봉제, 야근수당 없음, 그런데도 다른곳에비해 현저히 낮은 연봉",정치를하지 말고 모두의 입장에서 한곳으로 치우치지 않는 경영을 했으면...
2.4,디에스케이(주),2021. 01,1점,"""입사한다면 도시락 싸서 쫓아다니면서 말리고 싶은 회사임""","좋은 팀분위기, 자유로운 연차사용...30자 적어야하는데 없음","1. 잡일이 극악으로 많고... 잡일만 죽도록 하게되면서 개발역량은 도태되는것을 느낌..
2. 매우 엄청 많은 출장
3. 고객사에게 욕많이 먹음
4. 집에 가기 힘듬
5. 본사 주차하기 엄청 힘듬
6. 팀간의 피드백도 잘 없고 알아서 해야함
7. 너무 많아서 이까지 씀 밤샐것같음",각 리더들이 제대로 된 리더쉽을 발휘해줬으면 좋겠습니다
2.4,디에스케이(주),2020. 12,2점,"""꾸준히 무언가 일을 창출하는 그리고 최소한의 인력으로 최대를 바라는 회사""","월급 제때 잘 주고 밥도 제때 잘 주고 장점
스스로알아서 해야함 자유로움","1인 다역을 해야함 한마디로 만능 엔터테이너가 되어야 그나마 숨쉴수
있는곳","사람 없다고 계속 뽑는것보다 나가는사람 다독여서 인력 화보를
했으면함"
2.4,디에스케이(주),2020. 12,3점,"""공장 자동화의 오랜 역사를 가지고있는 ㅅ사로 자동화 경력을 쌓기에 괜찮은곳.""","비교적 체계가 잡혀 있는 회사이고
매출도 꾸준한 편.
근무분위기는 보통입니다.","공장다동화 기업들의 기본적인
문제점 중의 하나인 퇴근시간이 늦다는것.","새로운 장비개발과 거래처 확보
다양한 분야의 장비 개발이 필요하다고
봅니다."
2.4,디에스케이(주),2020. 11,1점,"""4차 산업에서 살아남을 수 있는 몇 안되는 기업
인적 관리 필요 한 시점""","야근수당 특근수당 일한 만큼 가져갈수 있다.
프로젝트가 꾸준히 있어서 경영악화가 없다.
청년내일채움공제 되며, 꼭 2년 하시기를 3년 버틸 수 있다면 상관 없지만...","퇴사율이 높다. 텃세 심하고 부서별 업무 강도 높으며, 야근, 특근이 진짜 많으며, 즉 워라벨? 없다.
3년 이상급 재직자가 10%? 안될 것 같다.
진짜 갈때 없고 경력이 없으면 들어가도 괜찮다.","하고 싶은 말은 많으나 하지 않겠습니다.
그 동안에 감사했습니다."
2.4,디에스케이(주),2020. 11,3점,"""사무직 외는 출장이 많으며 정해진 시간까지 근무를 하면 야근수당이 있음""","자유로운 연차 사용
기본급 외 출장, 야근수당등 부가적인 수입 창출","식당 밥이 맛이 없음
직급 및 나이가 낮으면 잡일을 도맡아 해야함",지금하는 시스템이 나쁘다고 생각하지 않음
2.4,디에스케이(주),2020. 10,3점,"""업무가 많고 야근수당주고 특근수당주고 일한만큼 돈을 벌수있는회사""","자유로운연차사용, 야근수당, 특근수당이 있어 돈은 잘벌수있고 본인기술을 키울기회가 많다.",야근특근비 안받아도되니 쉬고싶을때가 많은데 그런거없이 일이너무많아서 주말쉬는것도 눈치보임,너무 부려먹음... 몸이힘듬 잠잘시간도 부족하고 일은많고...한숨...흐아..
2.4,디에스케이(주),2020. 10,2점,"""그럭저럭 다니면 다닐만한 회사. 하지만 개발자라면 다시 생각해야함""","비교적 안정적인 회사 규모
사람들은 비교적 착함
야근 수당 지급","비합리적인 인원관리
개발자 출신 임원이 없어서 비전팀에 대해 별로 신경 안씀
외주 의존도가 커서 개발 실력 쌓을 여건이 없음 cs업무 한다고 보면됨",앞으로 해오던 대로 계속 하면 될거같습니다. 회사는 앞으로도 성장 가능성이 있다고 생각됩니다.
2.4,디에스케이(주),2020. 08,3점,"""보수적인 대표이사와 그의 아이들같은 임원들. 그리고 가성비 좋은 직원들. 어쩌면 칼퇴 어쩌면 야근. 그럭저럭. 돈은 많은데 손이 작은 회사.""","꼰대들이 꼰대 아닌척하는게 눈에 보이는데, 나름 다른 회사처럼 대놓고 꼰대는 적은편. 남초회사라 여자직원들을 그래도 조금 배려해주는 편.",임원들이 대표이사의 아이들이라 힘이 별로 없어서 아랫직원들이 힘들다. 복지는 그럭저럭이라 좋지도 나쁘지도 않다. 급여 인상은 굉장히 짠편이다. 케바케가 많아 형평성에 어긋나는 경우가 많다.,"대표이사의 힘을 임원들에게도 나눠줬으면, 그리고 남녀평등한 대우를 해주길 바란다. 또한 복지를 하려면 제대로 해라. 근속기간과 나이가 중요한 회사. 앞으로는 실력으로 평가해줬으면."
2.4,디에스케이(주),2020. 07,3점,"""임원이나 고인물들은 회사를 전혀 생각 하지 않음""","장점이라고 쓸수 있는것이 하나도 없음. 굳이 쓰라면, 자율출근정도?","정해진 퇴근시간이 없음 그렇다고해서 야근수당이 많이주는것도아님, 문제해결이 아닌 누구잘못인지를 먼저 따짐.",개인이 아닌 회사를 먼저 생각하며 일하기를 바랍니다. 모두가 잘 살아야 함
2.4,디에스케이(주),2020. 06,2점,"""기업문화가 다소 보수적인 전형적인 중소기업""","운이 좋으면 빨리 성장할 수도 있는 환경
근데 그 성장이라는게 밖에 나와서 보면
별거 아닌게 함정ㅎㅎ","업무 시간 외 연락을 당연시 하고 야근도 많음
식비 급여 등 다 적음","사내 분위기는 물론이고
영업 이익 관리 좀 하셔야겠지 않겠어요?
아무쪼록 번창하시기를"
2.4,디에스케이(주),2020. 03,3점,"""야근은 많지만 팀원간 사이가 좋고 업무 스트레스는 있어도 사람 스트레스는 없는 곳""","사무실 분위기가 좋고, 명절,휴가비 지급, 상여금 지급, 생일 상품권 지급",출장이 많고 야근이 많다. 지면결제가 번거로움 직원복지가 부족하고 연차쓰기가 눈치 보임 수직적인 사내구조,직원 복지에 힘써줬음 좋겠음 매출대비 직원 수가 부족하여 한사람당 할당량이 많음
2.4,디에스케이(주),2019. 12,4점,"""보고 배우는게 많고 보람차게 일할 수 있는 곳""",연차를 위사람 눈치를 안 보고 쓸수있음. 수평적인 사무실 분위기입니다.,보고를 위한 문서 작업이 많으며 하는 일에 비해 평균 연봉이 적습니다,복지 및 보상을 더 늘렸으면 좋겠습니다
2.4,디에스케이(주),2019. 09,2점,"""사무실. 생산현장의 평범한 엔진 서비스, 기자재 중소기업.""",첫 직장으로서 업무의 전체적인 프로세스나 경력 배우고 쌓기 좋음,"보수적. 경직. 수직적인 근무 분위기.
사내 복지제도나 직원 혜택이 적음. 근무 당시 연차 전무. 여름휴가 3일.",기업의 단점 보완. 직원이 오래 일할 수 있는 분위기나 기업문화 개선요청
