총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.5,(주)위다스,2018. 11,4점,"""기본적으로 제조회사고 앞으로 발전 가능성이 있는 회사라고 생각함.""",복지가 좋다. 월급이 밀리지 않고 식대가 나오며 야근을 하게 되더라도 식대가 나온다. 타직종에 비교 했을때 급여가 높은 편.,업무가 많다. 업무가 과다하여 주말에 출근해야하는 경우도 있다. 향후 노동법으로 인해 개선되리라 생각된다.,사내에 단합이 잘 안되는거 같다. 단합을 위해 회식이라든지 워크샵 활동이 있었으면 좋겠다.
2.5,(주)위다스,2018. 05,4점,"""임직원들의 마인드가 좋으며 향후 전도유망한 회사입니다.""",복지 및 급여수준이 높고 사내 문화 형성이 잘 되어있습니다.,",중소기업의 특성상 이직이 좀 많은 편입니다. 또한 사람에 공급부족으로 업무량이 조금 많은 편입니다.",",조금 더 직원들의 목소리를 귀기울여 듣는다면 앞으로 가능성이 무궁무진할것 같습니다."
2.5,(주)위다스,2018. 05,2점,"""생산성없이 바쁘기만함....관리가 안됨""","장점은 별로 없지만, 실무를 하는 직원들이 적어, 입사하면 여러가지 일을 많이 하게 되어, 업무 습득이 빠름.","회사 기여에 대한 상여라든지 보상이 전혀 없으며, 경영진(임원)과 직원들과의 방향성 및
목표가 차이가 많이 발생함. 업무 진행이 없이 재자리 걸음임.",자율적으로 일 할 수 있게 했으면 합니다..
2.5,(주)위다스,2018. 04,3점,"""IT 기업으로 KT 중계기를 개발, 양산하는 회사였으면 전도 유망한 회사였음.""","연차, 도서구입비 무료, 소정의 개발 비용 지원, 조요한 사무실 분위기 등으로 자기 개발을 할 수 있었으며, 가족같은 편안한 분위기에서 근무환경은 대체로 무난했음. 좋은 회사로 기억하고 있음","소위 기업의 성장이 유망할 때 전반적인 관리와 회사의 영속성을 꽤하였으나 그 결과가 좋지 못했으며, 한 우물보다는 여러가지 사업에 손 대었던것이 아쉽게 기억으로 남음.",회사에서 근속하며 열심히 일 해왔던 직원보다는 외부에서 낙하산처럼 들어온 굴러온 돌이 더 대우받는 부분에 대한 직원들의 불만이 많았던 것으로 기억함
2.5,(주)위다스,2015. 06,3점,"""코스닥회사로서 체계적인 근무가 가능하였다
사람들이 좋고 서로 의지하며 근무할수 있다""","회사분위기가 좋고 사람들이 너무 좋아요
이것저것 일해볼수 있는 기회가 많아요","창의성과 의욕적 업무분위기가 약하다
매너리즘에 빠지기 쉽다","업무분장을 잘했으면 좋겠당
과도한 업무집중이 분산되도록 조치해주셨으면..."
2.5,(주)위다스,2015. 06,4점,"""큰 뜻을 품었으나 큰 뜻을 펼치기에는 부족한 환경과 프로세스를 지님""","윗사람 눈치 안보고 연차 쓸수 있을 만큼 분위기적으로 강압적이지 않음
이것저것 여러가지를 경험을 해볼수 있음","이것저것 여러가지를 부려먹어 몸으로 때우면서 해야하는 일이 많고, 중소기업이 다 그렇듯이 미친이직률로 인한 몇 안되는 직원 이름 외우기가 벅참","창업이래 뚝심있게 사업을 영위해 오신 내공이 있으시고 경험이 풍부하신 점은 좋으나
그 뚝심으로 제발 조직을 한달에 2번 3번 바꾸는건 좀...."
2.5,(주)위다스,2014. 12,3점,"""이쪽 업계가 많이 침체 되어있으므로 다른 업계를 추천""",정시퇴근이 가능하며회사 주변 편의시설이 잘 발달 되어 있음,회사 매출의 부재로 연봉 거의 동결 상태. 최근 몇년사이 대표자가 수차례 바뀌며 불안한 상태,직원들을 진정으로 생각하는 경영을 하기 바람
날 괴롭힌 삭제된 댓글,(주)위다스,경기,,,,,
날 괴롭힌 삭제된 댓글,(주)위다스,경기,,,,,
날 괴롭힌 삭제된 댓글,(주)위다스,경기,,,,,
날 괴롭힌 삭제된 댓글,(주)위다스,경기,,,,,
