종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio,TF
CSA 코스믹,60.0,24.0,18.0,4.0,2.0,12.0,0.0,50.0
EMW,17.647058823529413,2.941176470588235,0.0,10.294117647058822,2.941176470588235,1.4705882352941175,0.0,11.0
KCW,5.714285714285714,0.0,0.0,0.0,0.0,0.0,5.714285714285714,0.0
KD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK컴즈,25.102880658436217,6.172839506172839,3.292181069958848,0.0,0.823045267489712,12.757201646090536,2.05761316872428,294.0
SSCP,30.49645390070922,0.0,0.0,0.7092198581560284,1.4184397163120568,1.4184397163120568,26.95035460992908,30.0
UCI,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0
경남제약,46.900269541778975,0.0,0.2695417789757413,24.797843665768195,14.824797843665769,6.738544474393531,0.2695417789757413,300.0
국순당,35.714285714285715,1.948051948051948,3.896103896103896,0.6493506493506493,9.090909090909092,12.337662337662337,7.792207792207792,169.0
금강제강,34.48275862068966,0.0,0.0,0.0,0.0,12.643678160919542,21.839080459770116,85.0
기륭이앤이,26.08695652173913,8.695652173913043,4.3478260869565215,0.0,0.0,0.0,13.043478260869565,10.0
나노스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나노트로닉스,10.344827586206897,4.597701149425287,0.0,3.4482758620689653,0.0,1.1494252873563218,1.1494252873563218,13.0
내츄럴엔도텍,42.10526315789473,5.263157894736842,6.315789473684211,3.1578947368421053,0.0,22.105263157894736,5.263157894736842,185.0
네오퍼플,14.17910447761194,1.4925373134328357,0.0,0.7462686567164178,3.731343283582089,0.0,8.208955223880597,36.0
넥스지,6.0,1.5,0.5,0.0,2.0,0.5,1.5,18.0
넥스트바이오홀딩스,11.940298507462686,0.0,0.0,0.0,0.0,8.955223880597014,2.9850746268656714,47.0
대성엘텍,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,28.57142857142857,40.0
데코앤이,8.695652173913043,0.0,4.3478260869565215,0.5434782608695652,0.0,1.6304347826086956,2.1739130434782608,64.0
동신건설,10.526315789473683,0.0,0.0,0.0,0.0,5.263157894736842,5.263157894736842,7.0
동양시멘트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
디아이디,14.925373134328357,0.7462686567164178,0.0,0.0,0.7462686567164178,9.701492537313433,3.731343283582089,20.0
디에스,22.105263157894736,4.2105263157894735,3.1578947368421053,1.0526315789473684,0.0,10.526315789473683,3.1578947368421053,72.0
디에스케이,0.9803921568627451,0.9803921568627451,0.0,0.0,0.0,0.0,0.0,0.0
디엠씨,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
디웍스글로벌,12.903225806451612,0.8064516129032258,1.6129032258064515,0.0,0.0,10.483870967741936,0.0,42.0
디젠스,6.349206349206349,0.0,6.349206349206349,0.0,0.0,0.0,0.0,5.0
디지탈옵틱,19.148936170212767,0.0,0.0,0.0,0.0,0.0,19.148936170212767,67.0
디지텍시스템,19.19191919191919,0.0,0.0,0.0,12.121212121212121,3.0303030303030303,4.040404040404041,38.0
디테크놀로지,30.357142857142854,26.785714285714285,1.7857142857142856,1.7857142857142856,0.0,0.0,0.0,33.0
라이트론,12.23021582733813,0.0,1.4388489208633095,0.0,2.158273381294964,3.597122302158273,5.0359712230215825,15.0
레이젠,2.083333333333333,2.083333333333333,0.0,0.0,0.0,0.0,0.0,2.0
룩손에너지,17.97752808988764,1.1235955056179776,5.617977528089887,3.3707865168539324,3.3707865168539324,2.247191011235955,2.247191011235955,46.0
르네코,15.517241379310345,0.0,1.7241379310344827,0.0,0.0,0.0,13.793103448275861,66.0
리켐,4.444444444444445,3.3333333333333335,1.1111111111111112,0.0,0.0,0.0,0.0,14.0
마이스코,28.125,0.0,0.0,0.0,0.0,17.96875,10.15625,148.0
마제스타,17.5,5.0,2.5,1.25,6.25,2.5,0.0,50.0
매커스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
모린스,30.303030303030305,0.0,0.0,0.0,0.0,0.0,30.303030303030305,47.0
미스터피자,20.0,2.5,17.5,0.0,0.0,0.0,0.0,2.0
바른손,19.230769230769234,0.0,19.230769230769234,0.0,0.0,0.0,0.0,43.0
바른손이앤에이,9.649122807017543,1.7543859649122806,1.7543859649122806,0.8771929824561403,0.8771929824561403,4.385964912280701,0.0,51.0
바른전자,7.462686567164178,0.0,2.9850746268656714,0.0,4.477611940298507,0.0,0.0,8.0
바이오빌,10.982658959537572,1.1560693641618496,0.0,2.8901734104046244,4.046242774566474,0.0,2.8901734104046244,26.0
삼우이엠씨,12.380952380952381,0.9523809523809524,2.857142857142857,0.9523809523809524,0.9523809523809524,0.0,6.666666666666667,12.0
선데이토즈,15.0,0.0,0.0,0.0,10.0,5.0,0.0,14.0
성융광전투자,18.0327868852459,0.0,8.19672131147541,0.0,1.639344262295082,0.0,8.19672131147541,15.0
세븐스타웍스,13.580246913580247,0.0,0.0,9.876543209876543,3.7037037037037033,0.0,0.0,63.0
세진전자,9.090909090909092,0.0,0.0,4.545454545454546,0.0,0.0,4.545454545454546,5.0
셀바스AI,19.047619047619047,4.761904761904762,3.571428571428571,3.571428571428571,3.571428571428571,1.1904761904761905,2.380952380952381,10.0
소리바다,6.25,0.0,0.0,0.0,0.0,6.25,0.0,1.0
솔고바이오,15.384615384615385,0.0,0.0,0.0,0.0,10.256410256410255,5.128205128205128,43.0
