총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,나라엠앤디(주),2018. 10,4점,"""생각보다 기업 규모가 크고 직원들의 복지좋음""",복지가 좋고 명절비와 같은 보너스를 많이 준다고 합니다,점심시간만 되면 전부 밥만 먹으러 온사람들처럼 너무 극성입니다. 기업을 위한 사람들이 아닌거같기도..,말단 인턴. 아르바이트에게도 좋은 복지를 부탁드립니다.
2.9,나라엠앤디(주),2018. 10,2점,"""직원수에 비해 전산관리자가 1명이라 전산쪽 지원이 많이 부족함. 인터넷이든 뭐가 안되면 몇일 그대로 써야함.""",연봉이 높은편이며 LG에서 분사한 회사라 대기업의 프로세스를 가지고 있음,역피라미드 구조. 재경 파워 너무 막강함. 업무강도가 상당히 높음,윗분들 제발 모르면서 아는 척하지말고 밑에사람한테 맡겨서 일처리 깔끔하게 처리되도록 해주세요. 괜히 업적올리고 싶어서 무리하지말고.
2.9,나라엠앤디(주),2018. 08,3점,"""동종업계대비 처우가 좋음 하지만 근무강도가 너무 쌤""",영어공부 어학공부 지원을 해주지만 큰도움이 되진않는것같다 회사 기술력도있고 고객층이 다양해서 좋은점도 있지만 그점이 오히려 단점이 될 수도 있다.,업무강도가 너무 쌔다.. 개인여유가 좀 없고 수직적인 조직문화와 군대같은 군기문화가 존재함 젊은 층보다는 장년층이 더 많음,경영진이 조금더 회사의 전반적인 상황을 세밀하게 봐줫으면 좋겠다 허점이 한두군데가 아닌것같다
2.9,나라엠앤디(주),2018. 06,2점,"""융통성이 없고 소통이 적은 분위기, 비정상적인 영업팀과 재경팀 권력, 국내 금형업체 빅3이며 복지가 좋은 편, 부서 별 편차가 크다""",빅3 금형 회사 답게 업계 최고 수준의 연봉과 복지를 자랑한다,"허울뿐인 ERP 시스템으로 결국 중소기업과 다를 바 없는 엑셀 노가다.
구 LG 영광에 취해 과거에 머무른 의식 수준.
위계질서 및 부서간 권력차가 심해 자유롭지 못한 근무환경.
평판 안좋기로 소문난 아워홈 식단.",경영진 교체가 시급하다. 경영자가 실무자의 마인드로 관리를 못하고 직원들을 괴롭힌다면 옳은 것인가?
2.9,나라엠앤디(주),2018. 05,3점,"""노력은 배신하지 않는다를 보여주는 기업. 일한만큼 벌어갈 수 있는 회사.""","자신이 체력만 되고 일만 많이하면 연봉은 생각보다 상당히 높음.
전국적으로 기술력이 상당한 금형 기업.","일과 삶의 균형이 잘 맞지않다. 일이 너무 많고 높은 기술력을 요하는 기업.
자신이 노력하지 않는다면 도태되는건 시간문제.","신입사원들의 실무교육에 시간을 좀 더 투자해줬으면 좋겠음.
너무 단기간에 높은 궤도에 오르는게 당연하다고 생각하지않았으면.."
2.9,나라엠앤디(주),2018. 05,2점,"""금형업계 상위급, 연봉 중소에선 높은편 중견에선 글쎄, 업무강도 상, 잔업 3시간 필수, 바쁜달은 새벽에 귀가.버틸수있다면 돈은 많이번다. 고연령층 선배가 많음, 밥 맛있다!""","조립파트는 커피마시며 여유가 있을때는 좋지만, 바쁠땐 집에 몬드감! 경남에서 알아주는 금형회사! 조립파트 경력이 쌓이면 해외출장도 많이간다.","너무많은 업무시간, 특근거의 필수, 꼰대들이 몇 있다. 저녁시간 30분 30분일찍퇴근한다고 하는데 글쎄... 업무시간이 너무 많아서 피곤하다, 회식이 지옥! 돈 많이 받는건 절대 아님!","연봉인상+ 잔업 축소 하면 회사 망할까? 납기일에 맞춰 개인이 금형하나를 맡아 일하여 바쁠땐 집에 몬드감, 작업환경 열악, !금형업계 특성상 중견이 끝일듯."
2.9,나라엠앤디(주),2018. 05,2점,"""금형에 대해서 일배우고 경험 쌓기에 좋음""",일배우기에 적합하고 몇년만 버티면 그나마 일이 되서 잘마무리하게 됨 시설이 좋고 공장 내부는 깨끗해서 좋음,연차 눈치보임 욕설 많이 하는 군대보다더한곳 연봉도 일의 강도에 비해서 작음 복지 별로 프레스 위험 시끄러움,신규 채용에 힘써줬으면하고 금형과 관련된 학생들을 많이 뽑았으면함
2.9,나라엠앤디(주),2016. 10,3점,"""대한민국 대표 금형공장
금형관련하여 축적된 노하우가 많고 여러가지 다양한 금형을 제작""",사원들 복지 괜찮으며 초과업무에따른 잔없수당 제도가 잘되어있음,회의가 길고 불필요한 서류 업무가 많아 잔업일이 많음.,부서간의 시너지 효과를 위해 소통이 될수있는 교육이 필요한것같음
2.9,나라엠앤디(주),2016. 10,1점,"""금형전문기업이라고 대외적으로 알려져있음. 타부서의 근무환경은 잘모르겠으나 사출금형쪽 업무환경은 열악함.최악.""","바이어가 다양하여 금형 설계 경험을 많이 할 수 있음.
복지가 좋음 명절휴가비 특근 잔업비 휴가비 자녀교육비지원 등등.초년생치고는 연봉이 괜찮은편임.",바이어가 많다보니 바이어마다 일일히 스펙을 맞춰줘야하다보니 업무가 많아짐.금형의 난이도가 대체적으로 높음.쓸데없는 회의가 많음.업무의 강도가 장난아님 야근 특근비로 돈버는회사임.설계쪽으로 일이 몰리는 경향이 있음,노사간의 대화가 필요함. 설계쪽의 부하를 고려하여 사람을 추가하는것을 고려해야함.
2.9,나라엠앤디(주),2016. 06,4점,"""Lg에서 분사된 기업으로 우수한 기술력을 보유하여 금형업계에선 인지도가 높은편이다!""","Lg에서 분사된 기업이다보니 대기업의 기본적인 복지는 갖추고 있는편 유치원 초중고 대학(50%) 학자금
건강검진,각종경조사 등등!! 임금은 상여600프로 보너스에 잔업32시간이 포함되어 돈이 더 나오기 때문에 실직적으로650~700 프로 되는거같다 그리고 여기에 명절 추석, 설 각각 105만원씩 귀향비를 주고 휴가비40만원 생일엔5만원 상품권 이정도면 상여금은 700~750프로정도 수준인거같다. 동종업계에선 복지나 임금은 상위권이라 볼수 있다 성과급은 영업이익이 많이 나면 나온다","요즘 중국의 성장과 금형단가가 계속 낮아지다보니 금형산업이 많이 어려워지고 있는 추세다 그로 인해 임금인상률도 점점 줄어가는 추세, 성과급 또한 현상황황으론 기대하기 힘든상황!",신규 사업에 대한 투자와 노사간의 원활한 소통을 바랍니다.!
